Year,Keyword,Count,Display,Article_Count
2025,Innovative approaches,1,Innovative approaches (1),17
2025,insect,1,insect (1),17
2025,Insect diversity monitoring,1,Insect diversity monitoring (1),17
2025,instrumentation,1,instrumentation (1),17
2025,Integrated gradient,1,Integrated gradient (1),17
2025,integrated gradients,1,integrated gradients (1),17
2025,IoT,1,IoT (1),17
2025,leaf,1,leaf (1),17
2025,Leaf disease detections,1,Leaf disease detections (1),17
2025,Leaf diseases,1,Leaf diseases (1),17
2025,lemon disease classification,1,lemon disease classification (1),17
2025,Local interpretable model-agnostic explanation,1,Local interpretable model-agnostic explanation (1),17
2025,local interpretable model-agnostic explanations (LIME),1,local interpretable model-agnostic explanations (LIME) (1),17
2025,Loss functions,1,Loss functions (1),17
2025,Machine-learning,1,Machine-learning (1),17
2025,Maize leaf disease,1,Maize leaf disease (1),17
2025,Malus,1,Malus (1),17
2025,mango leaf disease,1,mango leaf disease (1),17
2025,mango leaves,1,mango leaves (1),17
2025,merged dataset,1,merged dataset (1),17
2025,microbiology,1,microbiology (1),17
2025,model fusion,1,model fusion (1),17
2025,monitoring,1,monitoring (1),17
2025,Multi-Class classification,1,Multi-Class classification (1),17
2025,multi-head attention,1,multi-head attention (1),17
2025,Multi-label plant disease,1,Multi-label plant disease (1),17
2025,multi-label plant diseases,1,multi-label plant diseases (1),17
2025,Multi-labels,1,Multi-labels (1),17
2025,Neural Networks,1,Neural Networks (1),17
2025,numerical model,1,numerical model (1),17
2025,paddy leaf disease,1,paddy leaf disease (1),17
2025,Particle swarm optimization (PSO),1,Particle swarm optimization (PSO) (1),17
2025,Performance,1,Performance (1),17
2025,pesticide,1,pesticide (1),17
2025,plant disease classification,1,plant disease classification (1),17
2025,Plant leaves,1,Plant leaves (1),17
2025,Prewitt,1,Prewitt (1),17
2025,ResNet,1,ResNet (1),17
2025,ResNet152v2,1,ResNet152v2 (1),17
2025,ResNet50,1,ResNet50 (1),17
2025,rice,1,rice (1),17
2025,Rice disease detection,1,Rice disease detection (1),17
2025,Rice leaf disease,1,Rice leaf disease (1),17
2025,Rice leaf diseases,1,Rice leaf diseases (1),17
2025,Rice leaves,1,Rice leaves (1),17
2025,Shapley,1,Shapley (1),17
2025,Shapley additive explanation,1,Shapley additive explanation (1),17
2025,shapley additive explanations (SHAP),1,shapley additive explanations (SHAP) (1),17
2025,Shot segmentation,1,Shot segmentation (1),17
2025,Soft voting ensemble,1,Soft voting ensemble (1),17
2025,Soursop,1,Soursop (1),17
2025,statistical analysis,1,statistical analysis (1),17
2025,statistical features,1,statistical features (1),17
2025,Statistical tests,1,Statistical tests (1),17
2025,Tomato leaf,1,Tomato leaf (1),17
2025,Transformer models,1,Transformer models (1),17
2025,Transparency,1,Transparency (1),17
2025,vision transformers,1,vision transformers (1),17
2025,ViT,1,ViT (1),17
2025,wheat crop disease,1,wheat crop disease (1),17
2025,XAI,1,XAI (1),17
2025,Xception,1,Xception (1),17
2025,Zero hunger,1,Zero hunger (1),17
2026,Deep learning,5,Deep learning (5),8
2026,explainable AI,5,explainable AI (5),8
2026,Computer vision,3,Computer vision (3),8
2026,Convolutional neural network,3,Convolutional neural network (3),8
2026,Convolutional neural networks,3,Convolutional neural networks (3),8
2026,Deep neural networks,3,Deep neural networks (3),8
2026,Explainable artificial intelligence,3,Explainable artificial intelligence (3),8
2026,Leaf disease,3,Leaf disease (3),8
2026,Learning systems,3,Learning systems (3),8
2026,Agriculture,2,Agriculture (2),8
2026,Classification (of information),2,Classification (of information) (2),8
2026,Diseases,2,Diseases (2),8
2026,Learning models,2,Learning models (2),8
2026,Plants (botany),2,Plants (botany) (2),8
2026,Activation mapping,1,Activation mapping (1),8
2026,Agricultural monitoring,1,Agricultural monitoring (1),8
2026,artificial neural network,1,artificial neural network (1),8
2026,biological interpretability,1,biological interpretability (1),8
2026,Chemical detection,1,Chemical detection (1),8
2026,class imbalance,1,class imbalance (1),8
2026,classification,1,classification (1),8
2026,Convolution,1,Convolution (1),8
2026,Convolutional neural networks (CNN),1,Convolutional neural networks (CNN) (1),8
2026,Crop managements,1,Crop managements (1),8
2026,Crop protection,1,Crop protection (1),8
2026,Data mining,1,Data mining (1),8
2026,Decision making,1,Decision making (1),8
2026,Deep learning model,1,Deep learning model (1),8
2026,Deep learning models,1,Deep learning models (1),8
2026,Diagnosis,1,Diagnosis (1),8
2026,Disease classification,1,Disease classification (1),8
2026,Disease detection,1,Disease detection (1),8
2026,disease severity,1,disease severity (1),8
2026,Error detection,1,Error detection (1),8
2026,Explainable AI (XAI),1,Explainable AI (XAI) (1),8
2026,Feature selection,1,Feature selection (1),8
2026,Florida [United States],1,Florida [United States] (1),8
2026,Food sources,1,Food sources (1),8
2026,Fruits,1,Fruits (1),8
2026,generative adversarial networks,1,generative adversarial networks (1),8
2026,Global context,1,Global context (1),8
2026,Global context vision transformer,1,Global context vision transformer (1),8
2026,Grad-CAM,1,Grad-CAM (1),8
2026,GradCAM,1,GradCAM (1),8
2026,Gradient-weighted class activation mapping,1,Gradient-weighted class activation mapping (1),8
2026,Health assessments,1,Health assessments (1),8
2026,Hyper-parameter optimizations,1,Hyper-parameter optimizations (1),8
2026,Hyperparameter optimization,1,Hyperparameter optimization (1),8
2026,Image classification,1,Image classification (1),8
2026,image diagnostic,1,image diagnostic (1),8
2026,Image enhancement,1,Image enhancement (1),8
2026,Information management,1,Information management (1),8
2026,Insect detection,1,Insect detection (1),8
2026,Leaf classification,1,Leaf classification (1),8
2026,leaf disease detection,1,leaf disease detection (1),8
2026,Learning algorithms,1,Learning algorithms (1),8
2026,LIME,1,LIME (1),8
2026,Locally interpretable model-agnostic explanation,1,Locally interpretable model-agnostic explanation (1),8
2026,Loss functions,1,Loss functions (1),8
2026,machine learning techniques,1,machine learning techniques (1),8
2026,Mango leaf disease,1,Mango leaf disease (1),8
2026,Mango leaf diseases,1,Mango leaf diseases (1),8
2026,MobileNetV2,1,MobileNetV2 (1),8
2026,Neural-networks,1,Neural-networks (1),8
2026,Paddy leaf disease classification,1,Paddy leaf disease classification (1),8
2026,pest damage,1,pest damage (1),8
2026,pest severity estimation,1,pest severity estimation (1),8
2026,pest symptom detection,1,pest symptom detection (1),8
2026,Plant disease,1,Plant disease (1),8
2026,Plant diseases,1,Plant diseases (1),8
2026,Plant stress,1,Plant stress (1),8
2026,Precision agriculture,1,Precision agriculture (1),8
2026,Resource management,1,Resource management (1),8
2026,rice disease detection,1,rice disease detection (1),8
2026,saliency maps,1,saliency maps (1),8
2026,Sericulture,1,Sericulture (1),8
2026,Silk,1,Silk (1),8
2026,Simple++,1,Simple++ (1),8
2026,Statistical tests,1,Statistical tests (1),8
2026,symptom,1,symptom (1),8
2026,Thermal imagery,1,Thermal imagery (1),8
2026,Thermal imaging,1,Thermal imaging (1),8
2026,Thermal-imaging,1,Thermal-imaging (1),8
2026,Thermography (imaging),1,Thermography (imaging) (1),8
2026,thrips,1,thrips (1),8
2026,trade-off,1,trade-off (1),8
2026,United States,1,United States (1),8
2026,vision transformer,1,vision transformer (1),8
2026,visual cue,1,visual cue (1),8
2026,visualization,1,visualization (1),8
2026,XAI,1,XAI (1),8
