abstract,address,author,booktitle,citation_key,copyright,doi,entry_type,file,isbn,issn,journal,language,month,number,pages,publisher,shorttitle,title,url,urldate,volume,year
,,"Ghosh, Hritwik and Rahat, Irfan Sadiq and Emon, Md. Mintajur Rahman and Mashrafi, Md. Jisan and Al Arafat Tanzin, Mohammed Abdul and Mohanty, Sachi Nandan and Kant, Shashi",,ghoshAdvancedNeuralNetwork2025,,10.1007/s43621-025-01149-1,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\LMX2ZZ3U\\Ghosh et al. - 2025 - Advanced neural network architectures for tomato leaf disease diagnosis in precision agriculture.pdf:application/pdf,,2662-9984,Discover Sustainability,en,apr,1,312,,,Advanced neural network architectures for tomato leaf disease diagnosis in precision agriculture,https://link.springer.com/10.1007/s43621-025-01149-1,2026-04-27,6,2025
,,"Duhan, Sangeeta and Gulia, Preeti and Gill, Nasib Singh and Oliveira, Teresa A. and Singh, Pradeep Kumar",,duhanEvaluationLightweightEfficient2026,,10.1007/s43926-026-00310-0,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\5SBF67YI\\Duhan et al. - 2026 - Evaluation of lightweight and efficient deep learning models for plant disease classification.pdf:application/pdf,,2730-7239,Discover Internet of Things,en,feb,1,43,,,Evaluation of lightweight and efficient deep learning models for plant disease classification,https://link.springer.com/10.1007/s43926-026-00310-0,2026-04-27,6,2026
"Abstract The automated weed identification is necessary to enhance crop yield and the sustainable precision agriculture. The use of manual labour and chemical herbicides in traditional practices makes them very expensive, harmful to the environment, and causes more herbicide resistance. To overcome, this paper presents an AI-driven model AgroWeedX-Ensemble, which combines enhanced preprocessing, state-of-the-art segmentation, multi-scale feature extraction, feature selection, and efficient weed detection. An enhanced WeedNet-Adaptive Pre-Processing Optimizer (WN-APO) improves the quality of data by dynamically changing bilateral filtering, augmentation, and normalization to accommodate lighting changes and shadows. The proposed Attention-ASPP Enhanced Hybrid Dilated Network (AA-HDN) is based on the U-Net + + , attention, ASPP, and hybrid dilated convolutions to precisely differentiate between overlapping weed-crop areas. Multi-Scale Residual Spatial Feature Extractor (MS-RSFE) uses HOG, Gabor filters, and ResNet-50 with Feature Pyramid Networks to identify a variety of morphologies of weeds. The Parrot-Wheel Feature Selector (PWFS) is used to reduce feature redundancy by combining Parrot Optimizer and Binary Waterwheel Plant Optimization. Lastly, WeedAttnX-Net is a CNN-based model that adds RNN, Bi-GRU, attention layers, and the Bi-GRU-Attention to lower the false positives and enhance the reliability of the detection. The experimental findings show that AgroWeedX-Ensemble is highly accurate (0.99), precise (0.98), and robust in different field conditions with a lower false positives (0.02) and false negatives (0.009). The suggested system provides a scalable and useful solution to automated weed detection in precision agriculture.",,"Patel, Vijesh Kumar and Abhishek, Kumar and Shafeeq, B. M. Ahamed",,patelUnifiedFrameworkUNet2026,,10.1007/s44163-026-00853-9,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\89P5IVUN\\Patel et al. - 2026 - A unified framework with U-Net + + and CNN-RNN-BiGRU architectures for automated weed detection in p.pdf:application/pdf,,2731-0809,Discover Artificial Intelligence,en,jan,1,144,,,A unified framework with U-Net + + and CNN-RNN-BiGRU architectures for automated weed detection in precision agriculture using AI,https://link.springer.com/10.1007/s44163-026-00853-9,2026-04-27,6,2026
"Abstract Plant disease detection is a critical task in agriculture, essential for ensuring crop health and productivity. Traditional methods in this context are often labor-intensive and prone to errors, highlighting the need for automated solutions. While computer vision-based solutions have been successfully deployed in recent years for plant disease identification and localization tasks, these often operate independently, leading to suboptimal performance. It is essential to develop an integrated solution combining these two tasks for improved efficiency and accuracy. This research proposes the innovative Plant Disease Localization and Classification model based on Vision Transformer (PDLC-ViT), which integrates co-scale, co-attention, and cross-attention mechanisms and a ViT, within a Multi-Task Learning (MTL) framework. The model was trained and evaluated on the Plant Village dataset. Key hyperparameters, including learning rate, batch size, dropout ratio, and regularization factor, were optimized through a thorough grid search. Early stopping based on validation loss was employed to prevent overfitting. The PDLC-ViT model demonstrated significant improvements in plant disease localization and classification tasks. The integration of co-scale, co-attention, and cross-attention mechanisms allowed the model to capture multi-scale dependencies and enhance feature learning, leading to superior performance compared to existing models. The PDLC-ViT model evaluated on two public datasets achieved an accuracy of 99.97\%, a Mean Average Precision (MAP) of 99.18\%, and a Mean Average Recall (MAR) of 99.11\%. These results underscore the model's exceptional precision and recall, highlighting its robustness and reliability in detecting and classifying plant diseases. The PDLC-ViT model sets a new benchmark in plant disease detection, offering a reliable and advanced tool for agricultural applications. Its ability to integrate localization and classification tasks within an MTL framework promotes timely and accurate disease management, contributing to sustainable agriculture and food security.",,"Hemalatha, S. and Jayachandran, Jai Jaganath Babu",,hemalathaMultitaskLearningBasedVision2024,,10.1007/s44196-024-00597-3,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\M4CAXXQF\\Hemalatha and Jayachandran - 2024 - A Multitask Learning-Based Vision Transformer for Plant Disease Localization and Classification.pdf:application/pdf,,1875-6883,International Journal of Computational Intelligence Systems,en,jul,1,188,,,A Multitask Learning-Based Vision Transformer for Plant Disease Localization and Classification,https://link.springer.com/10.1007/s44196-024-00597-3,2026-04-27,17,2024
,,"Hernández, Inés and Gutiérrez, Salvador and Barrio, Ignacio and Íñiguez, Rubén and Tardaguila, Javier",,hernandezInfieldDiseaseSymptom2024a,,10.1016/j.compag.2024.109478,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\8R4XAGD8\\Hernández et al. - 2024 - In-field disease symptom detection and localisation using explainable deep learning Use case for do.pdf:application/pdf,,01681699,Computers and Electronics in Agriculture,en,nov,,109478,,In-field disease symptom detection and localisation using explainable deep learning,In-field disease symptom detection and localisation using explainable deep learning: Use case for downy mildew in grapevine,https://linkinghub.elsevier.com/retrieve/pii/S016816992400869X,2026-04-27,226,2024
"Abstract Deep learning has emerged as a highly effective and precise method for classifying images. The presence of plant diseases poses a significant threat to food security. However, accurately identifying these diseases in plants is challenging due to limited infrastructure and techniques. Fortunately, the recent advancements in deep learning within the field of computer vision have opened up new possibilities for diagnosing plant pathology. Detecting plant diseases at an early stage is crucial, and this research paper proposes a deep convolutional neural network model that can rapidly and accurately identify plant diseases. Given the minimal variation in image texture and color, deep learning techniques are essential for robust recognition. In this study, we introduce a deep, explainable neural architecture specifically designed for recognizing plant diseases. Fine-tuned deep convolutional neural network is designed by freezing the layers and adjusting the weights of learnable layers. By extracting deep features from a down sampled feature map of a fine-tuned neural network, we are able to classify these features using a customized K-Nearest Neighbors Algorithm. To train and validate our model, we utilize the largest standard plant village dataset, which consists of 38 classes. To evaluate the performance of our proposed system, we estimate specificity, sensitivity, accuracy, and AUC. The results demonstrate that our system achieves an impressive maximum validation accuracy of 99.95\% and an AUC of 1, making it the most ideal and highest-performing approach compared to current state-of-the-art deep learning methods for automatically identifying plant diseases.",,"Natarajan, Sasikaladevi and Chakrabarti, Prasun and Margala, Martin",,natarajanRobustDiagnosisMeta2024,,10.1038/s41598-024-64601-8,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\DU8UDU6B\\Natarajan et al. - 2024 - Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with exp.pdf:application/pdf,,2045-2322,Scientific Reports,en,jun,1,13695,,,Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,https://www.nature.com/articles/s41598-024-64601-8,2026-04-27,14,2024
"Abstract In India, agriculture remains the primary source of livelihood for many people. Pathogen attacks in crops and plants significantly diminish both the yield and quality of production, leading to financial losses. As a result, identifying diseases in crops is highly important. As the population grows, the demand for rice also rises. Therefore, disease management is vital in rice cultivation, and rapid identification of rice diseases is critical for timely pesticide application and effective control. Consequently, there is a need to boost agricultural productivity by adopting new technologies. Deep learning is a popular area of research in various fields. This research aims to design and propose a new automated model using a deep learning model for the disease identification and categorization of paddy leaves. The system follows a structured workflow comprising several stages: image acquisition, pre-processing, feature extraction, feature selection, and classification. Images of paddy leaves were obtained from the paddy doctor dataset hosted on Kaggle. The data is pre-processed by choosing the RoIs, labelling, enhancement, and segmentation using adaptive thresholding and grouped using K-means clustering. The MobileNetV3 model, a pre-trained transfer learning approach, extracted colour, shape, and texture features. The vital features are selected using the hybrid Genghis Khan Shark Optimization (GKSO) with Simulated Annealing (SA) algorithm. The chosen features are subsequently fed into the CatBoost for disease classification. The deep learning techniques introduced for disease identification and classification have been compared with various conventional classifiers, and the system’s performance has been validated using metrics such as accuracy, sensitivity, and F1-score. Performance investigations prove that the technique efficiently yields a higher accuracy of 98.52\%, outperforming state-of-the-art techniques.",,"Subbarayudu, Chatla and Kubendiran, Mohan",,subbarayuduAutomatedHybridDeep2025,,10.1038/s41598-025-08071-6,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\XWSHYNZC\\Subbarayudu and Kubendiran - 2025 - An automated hybrid deep learning framework for paddy leaf disease identification and classification.pdf:application/pdf,,2045-2322,Scientific Reports,en,jul,1,26873,,,An automated hybrid deep learning framework for paddy leaf disease identification and classification,https://www.nature.com/articles/s41598-025-08071-6,2026-04-27,15,2025
,,"Kiruthika, M. Anu and Gladston, Angelin and Nehemiah, H. Khanna",,kiruthikaLightweightDualstageFeature2025,,10.1038/s41598-025-22847-w,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\AUF285QG\\Kiruthika et al. - 2025 - Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE.pdf:application/pdf,,2045-2322,Scientific Reports,en,nov,1,38941,,,Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,https://www.nature.com/articles/s41598-025-22847-w,2026-04-27,15,2025
,,"Gani, Raiyan and Isty, Maherun Nessa and Rashid, Mohammad Rifat Ahmmad and Ahmed, Jubaer and Islam, Tasmia and Hasan, Mahamudul and Islam, Raihan Ul and Ripon, Shamim H. and Reza, Ahmed Wasif",,ganiAttentionGuidedConvolutional2025,,10.1038/s41598-025-25374-w,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\6ZW7QBH7\\Gani et al. - 2025 - Attention guided convolutional neural network with explainable AI for papaya leaf disease detection.pdf:application/pdf,,2045-2322,Scientific Reports,en,nov,1,41489,,,Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,https://www.nature.com/articles/s41598-025-25374-w,2026-04-27,15,2025
"Abstract Early and accurate detection of diseases is very important for the health of crops and ensuring sustainable agricultural productivity. This paper proposes OptiNet-B3, a novel approach and an efficient deep model for the multiclass classification of fruit and leaf diseases for apples, bananas, and oranges. Through two diverse and comprehensive image datasets, the model performs well for both fruit 13,602 images and leaf 11,199 images classification. OptiNet-B3 optimizes learning in low computational budget by integrating Mish activation, Convolutional Block Attention Module (CBAM), Group Normalization, and knowledge distillation. Great care in preprocessing and augmenting data was taken to improve generalization. Comparison with state-of-the-art models-including DenseNet121, ResNet50, MobileNetV3, and InceptionV3-based models-reveals that OptiNet-B3 substantially outperforms in terms of accuracy, with 98.12\% and 99.23\% on the fruit and leaf datasets, respectively. Due to its light-weight architecture, real-time deployment for in-field diagnosis on mobile and edge devices is much more feasible. The results underscore the potential of explainable, AI-driven tools in transforming plant disease management practices.",,"Naveen, Kothakota and Ajitha, D.",,naveenOptiNetB3LightweightExplainable2025,,10.1038/s41598-025-25888-3,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\5FJ8IRLR\\Naveen and Ajitha - 2025 - OptiNet-B3 a lightweight explainable deep learning model for multiclass classification of fruit and.pdf:application/pdf,,2045-2322,Scientific Reports,en,nov,1,41890,,OptiNet-B3,OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,https://www.nature.com/articles/s41598-025-25888-3,2026-04-27,15,2025
,,"Manoj, H M and Shanthi, D. L. and Lakshmi, B. N. and Archana, K. J. and Venkata Naga Jyothi, Endluri and Archana, Kande",,manojAIdrivenDroneTechnology2025,,10.1038/s41598-025-32384-1,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\YFFCHH4F\\Manoj et al. - 2025 - AI-driven drone technology and computer vision for early detection of crop disease in large agricult.pdf:application/pdf,,2045-2322,Scientific Reports,en,dec,1,2479,,,AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,https://www.nature.com/articles/s41598-025-32384-1,2026-04-27,16,2025
,,"Deb, Nibedita and Rahman, Tawfikur and Moniruzzaman, Md. and Bin Obadi, Ameen Salem and Jizat, Noorlindawaty Md. and Al-Bawri, Samir Salem and Rahman, Abdullah Al Mahfazur",,debIntegratingFeatureSelection2025,,10.1038/s41598-025-32520-x,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\78YYJCRB\\Deb et al. - 2025 - Integrating feature selection and explainable CNN for identification and classification of pests and.pdf:application/pdf,,2045-2322,Scientific Reports,en,dec,1,2721,,,Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,https://www.nature.com/articles/s41598-025-32520-x,2026-04-27,16,2025
,,"Zhang, Chong and Hao, Xiaoxi and Liang, Jianan and Li, Lili and Li, Wenwei",,zhangLightweightGeneralizableDeep2025,,10.1038/s41598-025-32568-9,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\63U2LHCV\\Zhang et al. - 2025 - A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in.pdf:application/pdf,,2045-2322,Scientific Reports,en,dec,1,45098,,,A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,https://www.nature.com/articles/s41598-025-32568-9,2026-04-27,15,2025
"Abstract Timely and precise detection of diseases on plants is crucial for minimizing losses during crop production in order to sustain food supply demands worldwide. In this work, deep learning (DL) was used to develop an automatic disease identification system for the leaves of potato and mango plants using two publicly available datasets, the PlantVillage Potato Leaf Disease (2,152 images) dataset and the Kaggle Mango Leaf Disease dataset (4,000 images). Images were pre-processed, augmented, and split into training and testing datasets (80:20), to enable better model generalization. Four deep learning architectures, namely Convolutional Neural Networks (CNN), AlexNet, Residual Networks (ResNet), and EfficientNet, were evaluated in the context of multi-class disease classification. The baseline CNN achieved a training accuracy of 93.67\% and a testing accuracy of 92.61\%, with balanced precision and recall (92.5\%), thus providing a very strong feature extraction and classification capability. AlexNet showed moderate performance (91.3\% training, 90.2\% validation), and a very small overfitting was observed. ResNet had an efficient convergence, and attained 96.7\% validation accuracy in just a few epochs, thus pointing out the advantage of residual connections in the context of deeper learning. EfficientNet surpassed all the other architectures, since it reached a training accuracy of 98.2\% and a validation accuracy of 97.8\%, with very small loss (≈ 0.015) and no overfitting, thus proving to have the best generalization ability. The models demonstrated stability and discriminative ability with the support of confusion matrices and accuracy and loss plots produced on an epoch-wise basis. Therefore, the findings indicate that DL models can be adapted for real-time and accurate plant disease diagnosis, establishing a pathway for early remediation, and supporting precision agriculture. The research establishes the opportunity for EfficientNet to be considered a promising solution for scalable smart farming.",,"Mishra, Utkarsh and Pandey, Ansh and G, Logeswari and K, Tamilarasi",,mishraDeepLearningbasedDisease2025,,10.1038/s41598-025-32607-5,article,"Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\H25V3TBP\\Mishra et al. - 2025 - Deep learning-based disease detection in potato and mango leaves a comparative study of CNN, AlexNe.pdf:application/pdf",,2045-2322,Scientific Reports,en,dec,1,2788,,Deep learning-based disease detection in potato and mango leaves,"Deep learning-based disease detection in potato and mango leaves: a comparative study of CNN, AlexNet, ResNet, and EfficientNet",https://www.nature.com/articles/s41598-025-32607-5,2026-04-27,16,2025
"Abstract Precise and timely identification of cotton leaf diseases is essential for sustaining crop yield and quality, yet manual inspection remains time-consuming, labor-intensive, and prone to error. Existing automated approaches are limited by insufficient dataset diversity, inconsistent evaluation practices, limited use of explainable AI (XAI), and high computational cost. To address these challenges, we propose an attention-enhanced CNN ensemble, namely CottonLeafNet , which integrates lightweight convolutional neural networks for accurate cotton leaf disease classification across two publicly available datasets. CottonLeafNet achieves state-of-the-art performance, obtaining 98.33\% accuracy, a macro F1-score of 0.9833, Cohen’s kappa of 0.9800, a mean PPV of 0.9838, and an NPV of 0.9967 on Dataset D1, with an inference time of 0.51 s per image. On Dataset D2, it reaches 99.43\% accuracy, a macro F1-score of 0.9942, Cohen’s kappa of 0.9924, a mean PPV of 0.9943, and an NPV of 0.9981, with a 0.40 s inference time. Moreover, a unified eight-class dataset created by merging both datasets yields a test accuracy of 99.08\%. Robustness analysis under artificially induced class imbalance further confirms the model’s stability, with consistently strong macro F1-scores. To evaluate the generalization capability of the proposed CottonLeafNet, we conducted cross-dataset experiments, and the results indicate that the model maintains moderate performance even when trained and tested on different datasets. Gradient-Weighted Class Activation Mapping (Grad-CAM) visualizations demonstrate that CottonLeafNet reliably attends to disease-relevant regions, enhancing interpretability. Finally, real-time feasibility is validated through a web-based deployment achieving \$\$\textbackslashapprox\$\$ 1 s inference per image. These results establish CottonLeafNet as an accurate, robust, interpretable, and computationally efficient solution for automated cotton leaf disease diagnosis.",,"Haque, Md. Ehsanul and Saykat, Md. Tamim Hasan and Al-Imran, Md and Siam, Ahsan Habib and Uddin, Jia and Ghose, Debasish",,haqueAttentionEnhancedCNN2026,,10.1038/s41598-025-34713-w,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\HD3UNFUF\\Haque et al. - 2026 - An attention enhanced CNN ensemble for interpretable and accurate cotton leaf disease classification.pdf:application/pdf,,2045-2322,Scientific Reports,en,jan,1,4476,,,An attention enhanced CNN ensemble for interpretable and accurate cotton leaf disease classification,https://www.nature.com/articles/s41598-025-34713-w,2026-04-27,16,2026
,,"Mora, Juan Jose and Blomme, Guy and Safari, Nancy and Elayabalan, Sivalingam and Selvarajan, Ramasamy and Selvaraj, Michael Gomez",,moraDigitalFrameworkGeoreferenced2025,,10.1038/s41598-025-87588-2,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\7P8FWASB\\Mora et al. - 2025 - Digital framework for georeferenced multiplatform surveillance of banana wilt using human in the loo.pdf:application/pdf,,2045-2322,Scientific Reports,en,jan,1,3491,,,Digital framework for georeferenced multiplatform surveillance of banana wilt using human in the loop AI and YOLO foundation models,https://www.nature.com/articles/s41598-025-87588-2,2026-04-27,15,2025
